Date,Open,High,Low,Close,Adj Close,Volume
2009-10-30,122.629997,123.250000,120.480003,120.610001,95.378357,7711700
2009-11-02,120.769997,121.930000,119.500000,120.559998,95.338837,7049400
2009-11-03,119.529999,121.190002,119.529999,121.160004,95.813301,5706800
2009-11-04,121.459999,122.500000,121.160004,121.290001,95.916138,6353300
2009-11-05,122.120003,123.500000,122.000000,123.099998,97.347450,6701800
2009-11-06,122.510002,123.489998,122.230003,123.489998,98.094147,4979600
2009-11-09,123.919998,126.000000,123.489998,126.000000,100.087959,7764600
2009-11-10,125.300003,127.050003,125.169998,126.910004,100.810822,6444500
2009-11-11,126.550003,127.300003,125.940002,127.190002,101.033257,6530800
2009-11-12,126.610001,127.650002,126.110001,126.260002,100.294495,5345400
2009-11-13,126.410004,127.800003,126.269997,127.029999,100.906151,4979700
2009-11-16,127.169998,128.240005,127.029999,128.210007,101.843506,7822500
2009-11-17,127.430000,128.649994,127.400002,128.630005,102.177124,1027500
2009-11-18,128.050003,128.350006,127.550003,128.149994,101.795792,3970100
2009-11-19,127.279999,127.839996,126.510002,127.540001,101.311256,5308400
2009-11-20,127.169998,127.690002,126.459999,126.959999,100.850525,5354200
2009-11-23,127.699997,128.940002,127.650002,128.199997,101.835526,7003500
2009-11-24,127.900002,128.320007,127.139999,127.930000,101.621063,4816500
2009-11-25,127.879997,128.220001,127.080002,127.279999,101.104721,3967700
2009-11-27,124.589996,126.620003,124.260002,125.699997,99.849663,3319200
2009-11-30,125.120003,126.599998,124.919998,126.349998,100.365974,6302700
2009-12-01,127.290001,128.389999,126.849998,127.940002,101.628990,6578600
2009-12-02,127.320000,128.389999,127.160004,127.209999,101.049126,4597900
2009-12-03,127.599998,128.470001,127.250000,127.550003,101.319214,5760000
2009-12-04,128.399994,128.899994,126.000000,127.250000,101.080879,7068500
2009-12-07,126.879997,127.529999,126.589996,127.040001,100.914055,4144400
2009-12-08,126.970001,127.349998,126.160004,126.800003,100.723450,5351400
2009-12-09,126.699997,128.389999,126.110001,128.389999,101.986458,6071900
2009-12-10,128.130005,129.470001,128.089996,129.339996,102.741066,7077800
2009-12-11,129.009995,129.770004,128.710007,129.679993,103.011169,6597200
2009-12-14,129.649994,129.979996,129.600006,129.929993,103.209763,5201300
2009-12-15,129.460007,129.860001,127.940002,128.490005,102.065880,7862600
2009-12-16,128.740005,129.600006,128.350006,128.710007,102.240646,6372500
2009-12-17,128.000000,128.559998,127.120003,127.400002,101.200043,5909500
2009-12-18,127.970001,128.389999,127.000000,127.910004,101.605171,9106600
2009-12-21,127.800003,128.940002,127.680000,128.649994,102.192963,4772500
2009-12-22,129.300003,129.979996,129.190002,129.929993,103.209763,5535500
2009-12-23,129.699997,130.000000,129.300003,130.000000,103.265366,4127600
2009-12-24,129.889999,130.570007,129.479996,130.570007,103.718140,4265100
2009-12-28,130.990005,132.309998,130.720001,132.309998,105.100281,5800400
2009-12-29,132.279999,132.369995,131.800003,131.850006,104.734917,4184200
2009-12-30,131.229996,132.679993,130.679993,132.570007,105.306847,3867000
2009-12-31,132.410004,132.850006,130.750000,130.899994,103.980255,4223400
2010-01-04,131.179993,132.970001,130.850006,132.449997,105.211510,6155300
2010-01-05,131.679993,131.850006,130.100006,130.850006,103.940567,6841400
2010-01-06,130.679993,131.490005,129.809998,130.000000,103.265366,5605300
2010-01-07,129.869995,130.250000,128.910004,129.550003,102.907913,5840600
2010-01-08,129.070007,130.919998,129.050003,130.850006,103.940567,4197200
2010-01-11,131.059998,131.059998,128.669998,129.479996,102.852280,5730400
2010-01-12,129.029999,131.330002,129.000000,130.509995,103.670486,8081500
2010-01-13,130.389999,131.119995,129.160004,130.229996,103.448051,6455400
2010-01-14,130.550003,132.710007,129.910004,132.309998,105.100281,7111800
2010-01-15,132.029999,132.889999,131.089996,131.779999,104.679298,8494400
2010-01-19,131.630005,134.250000,131.559998,134.139999,106.553978,13916200
2010-01-20,130.460007,131.149994,128.949997,130.250000,103.463943,15197500
2010-01-21,130.470001,130.690002,128.059998,129.000000,102.471001,9608600
2010-01-22,128.669998,128.889999,125.370003,125.500000,99.690773,10088600
2010-01-25,126.330002,126.889999,125.709999,126.120003,100.183311,5738500
2010-01-26,125.919998,127.750000,125.410004,125.750000,99.889374,7135300
2010-01-27,125.820000,126.959999,125.040001,126.330002,100.350098,8719200
2010-01-28,127.029999,127.040001,123.050003,123.750000,98.300659,9622200
2010-01-29,124.320000,125.000000,121.900002,122.389999,97.220360,11571200
2010-02-01,123.230003,124.949997,122.779999,124.669998,99.031487,7242900
2010-02-02,124.790001,125.809998,123.949997,125.529999,99.714622,5899900
2010-02-03,125.160004,126.070000,125.070000,125.660004,99.817894,4177100
2010-02-04,125.190002,125.440002,122.900002,123.000000,97.704918,9126900
2010-02-05,123.040001,123.720001,121.830002,123.519997,98.117950,8617000
2010-02-08,123.150002,123.220001,121.739998,121.879997,97.248268,5718500
2010-02-09,122.650002,124.199997,122.459999,123.209999,98.309479,6044500
2010-02-10,122.940002,123.650002,122.209999,122.809998,97.990311,5219100
2010-02-11,122.580002,124.199997,122.059998,123.730003,98.724411,5089000
2010-02-12,123.010002,124.050003,121.610001,124.000000,98.939819,8017700
2010-02-16,124.910004,125.230003,124.110001,125.230003,99.921242,6777300
2010-02-17,125.500000,126.529999,125.209999,126.330002,100.798935,5827400
2010-02-18,126.129997,128.000000,126.000000,127.809998,101.979828,5525900
2010-02-19,127.349998,128.059998,126.870003,127.190002,101.485146,6303100
2010-02-22,127.300003,127.430000,126.309998,126.849998,101.213844,3808100
2010-02-23,126.480003,127.660004,126.000000,126.459999,100.902657,4591900
2010-02-24,127.019997,128.270004,126.809998,127.589996,101.804276,4782000
2010-02-25,126.050003,127.239998,125.570000,127.070000,101.389374,5658700
2010-02-26,127.010002,128.000000,126.739998,127.160004,101.461182,4784200
2010-03-01,127.500000,128.830002,127.470001,128.570007,102.586227,4577700
2010-03-02,128.699997,129.089996,127.129997,127.419998,101.668663,6013300
2010-03-03,127.730003,128.020004,126.680000,126.879997,101.237762,6390000
2010-03-04,127.070000,127.070000,125.470001,126.720001,101.110100,6032300
2010-03-05,127.169998,127.550003,127.040001,127.250000,101.532982,6140200
2010-03-08,127.059998,127.500000,126.360001,126.410004,100.862740,6199300
2010-03-09,126.269997,126.290001,125.199997,125.550003,100.176559,7528800
2010-03-10,125.989998,126.360001,125.209999,125.620003,100.232430,6916200
2010-03-11,125.709999,127.809998,125.709999,127.599998,101.812248,7922200
2010-03-12,127.910004,128.369995,127.510002,127.940002,102.083549,5169500
2010-03-15,127.400002,128.339996,127.279999,127.830002,101.995758,4497700
2010-03-16,128.000000,128.880005,127.449997,128.669998,102.666016,6134900
2010-03-17,128.899994,128.929993,127.360001,127.760002,101.939926,6348400
2010-03-18,127.459999,128.750000,127.449997,128.380005,102.434616,4954400
2010-03-19,127.709999,128.929993,126.779999,127.709999,101.900040,10744300
2010-03-22,127.110001,128.389999,126.570000,127.980003,102.115463,5651900
2010-03-23,127.940002,129.429993,127.639999,129.369995,103.224556,5978500
2010-03-24,128.630005,129.949997,128.470001,128.529999,102.554291,6669300
2010-03-25,129.360001,130.729996,129.130005,129.240005,103.120811,7603200
2010-03-26,128.929993,129.779999,128.720001,129.259995,103.136772,5550800
2010-03-29,129.300003,129.949997,128.259995,128.589996,102.602173,4643000
2010-03-30,128.899994,129.130005,128.250000,128.770004,102.745811,3426600
2010-03-31,128.229996,128.750000,127.650002,128.250000,102.330887,4904800
2010-04-01,128.949997,129.309998,127.550003,128.250000,102.330887,4980500
2010-04-05,128.380005,129.800003,128.139999,129.350006,103.208565,4118700
2010-04-06,128.679993,129.300003,128.050003,128.929993,102.873466,3926300
2010-04-07,128.529999,129.270004,128.009995,128.479996,102.514412,5157000
2010-04-08,128.039993,128.229996,127.199997,127.610001,101.820244,6006900
2010-04-09,127.879997,128.869995,127.120003,128.759995,102.737808,5185100
2010-04-12,128.570007,128.960007,128.240005,128.360001,102.418671,3992300
2010-04-13,128.259995,129.429993,127.839996,129.029999,102.953262,6819100
2010-04-14,129.729996,131.419998,129.460007,131.250000,104.724602,8545800
2010-04-15,130.529999,131.139999,130.190002,130.889999,104.437355,6425300
2010-04-16,130.679993,132.169998,130.250000,130.630005,104.229897,9546200
2010-04-19,130.380005,132.279999,130.380005,132.229996,105.506538,11353700
2010-04-20,129.199997,130.330002,128.259995,129.690002,103.479889,15216500
2010-04-21,129.869995,130.270004,128.500000,128.990005,102.921371,7559200
2010-04-22,128.639999,129.360001,127.769997,129.130005,103.033051,6018500
2010-04-23,129.080002,130.100006,128.710007,129.990005,103.719269,6197300
2010-04-26,129.759995,131.039993,129.539993,130.729996,104.309685,5285400
